スクショ,投稿文,リプ,いいね,インプ,日時,URL,
,"ドケチな私が唯一、財布の紐ゆるくなるのが「肌」なんよ。服はユニクロばっか、外食より家ごはん派だけど、スキンケアだけはガチで投資してきた。だって肌って、一生付き合うものだから。20代、30代の今ちゃんと向き合ってたら、40代以降の自分から「ありがとう」って言われる気がしてる。だから私は、これからも“肌にだけは本気な女”でいたい。







",1,38,"17,000",2025/4/9 10:01:46,https://www.threads.com/@reika_biyou/post/DINOZU3BiD-,
,"最近ありがたいことに、たくさん質問いただくので
よく聞かれるやつまとめました！投稿を見て「そのスキンケア使ってみたい」って思ってくれる人が多くてマジ嬉しい。だからこそ、ちゃんと安心して始めてほしいので書いとく！！👇🏻

Q1. ビタミンCとレチノール、どっちから始めればいい？
A.どっちも最高だけど、初心者さんは“朝ビタミンC”から！刺激が少なくて使いやすいし、透明感と毛穴に即効性感じやすいよ🙆‍♀️私はドクターシーラボのビタミンC化粧水を使ってる！美容液で取り入れるのもあり✨
reika_biyou
2025/04/06
【楽天市場】【P10倍★〜5/27 01:59】【公式】 New VC 100 エッセンス ローション EX V 150mL [ ビタミンC 化粧水 ] 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人気ランキング


Q2. レチノールって刺激強い？赤くならない？
A.私も最初ちょっとピリついたけど、ちゃんと保湿すれば全然OK！A反応といって一時的に肌の新陳代謝が促進されて皮むけや赤みが出ることもある！(効果がある証拠)週2〜3回から始めるのが安心。慣れてきたら毎晩でもいける！
レチノールの保湿におすすめのスキンケア置いとくね！セラミドで保湿しとけば怖くないし、インナードライな私だけどこれ使っとけば夕方まで乾燥しないよ🥹
◽︎ rakuten ad
a.r10.to/hPJaq…
【楽天市場】【ポイント5倍＋まとめ買いで10倍！4/10 01:59まで】乳液 セラミド 楽天ベストコスメ2023 殿堂入り 学術誌掲載 60mL トゥベール トゥヴェール ナノエマルジョン／ナノエマルジ


Q3. どの順番で使えばいい？
A. 簡単バージョンはこれ
朝：洗顔 → ビタミンC化粧水 → 美容液→ 乳液→日焼け止め
夜：クレンジング → 洗顔 → 化粧水 → レチノール → 保湿
→わたし流スキンケア順はまた今度詳しく出すね！！


投稿見てくれてるみんなほんとありがとう！これからも「これ使ってよかった！」って自信持って言えるものだけ紹介するから、安心してついてきてね。美容ナース歴6年、美容オタク歴15年の私の知識ぜーーんぶ公開していく😉
",5,19,"17,000",2025/4/9 20:54:28,https://www.threads.com/@reika_biyou/post/DIOZF4dJCnp,
,"えっっっ、クレンジングとか洗顔時間かけるほど肌キレイになるって勘違いしてないよね？？？私も昔、“丁寧なケア＝長くやる”って思っててクレンジング1分半、洗顔もモコモコ泡でずっとやってた(笑)でもさ、それ逆効果なんよ。それぞれの目安時間は…

▶︎クレンジングは【40〜50秒】
▶︎洗顔は【20〜30秒】がベスト。
それ以上やると、肌のバリア機能が削られて乾燥する→皮脂ドバ→毛穴詰まる→ニキビできるの無限ループ。

ツルツル美肌になりたい人は
@reika_biyou
 をフォローしといてね！💕︎

















",2,16,"17,000",2025/5/13 21:57:19,https://www.threads.com/@reika_biyou/post/DJmDT95JcrE,
,"1週間もかからず1000人以上の方にフォローしてもらえて幸せ😆もう少しで2000人も見えてくる。どんどん有益な美容情報をお届けできるように私も頑張ります！楽しんでみてくださると嬉しいです(口悪いけど見逃してください♡)






",0,15,"17,000",2025/4/8 23:59:47,https://www.threads.com/@reika_biyou/post/DIMJgQZpB3N,
,"えっ、まてまて。私が使ってるスチーマー10%OFFクーポン出てるやん。よし、実家用にもうひとつ買っちゃお。スチーマー考えてる人これで十分よ。高いの買うくらいならクレンジングに資金回して。

▫️Rakuten PR ナノア公式
a.r10.to/hkK3v…
【楽天市場】【店内全品10％OFFクーポン】5/27 1:59まで■フェイススチーマー (ナノア)NANOA 皮膚科医が大注目の 濃密ナノミスト 温冷 スチーマー 美容 保湿 水道水OK たっぷりタンク 毛穴ケ
























",1,10,"17,000",2025/5/25 16:04:58,https://www.threads.com/@reika_biyou/post/DKEUhumJk2K,
,"美容ナースとして働いてきて私の経験を記事にまとめようと思ってるんですけど、何が気になりますか？ぜひ投票してください🥰他にあればコメントお願いします！




















",0,6,"17,000",2025/4/4 22:19:26,https://www.threads.com/@reika_biyou/post/DIBq1xIJ7rb,
,"肌褒められる人生になりたい人これだけは覚えて！！！毛穴！くすみ！ニキビ跡！全部に共通して効くのは結局ビタミンCとレチノール！！！！どっちも“ちゃんと使い続けたか”が大事！！！！私は朝ビタミンC・夜レチノールを2年やって肌変えた！！！！美容皮膚科の先生にも「もうすることない」って言われるくらい美肌になれたのはこのセットのおかげなの！！！！

史上最高のビジュになるのに年齢なんか関係ない！！！肌から本気で変えていきましょう！美肌になりたい人は
@reika_biyou
 をフォローしといてね🫶🏻
愛用品はプロフにまとめてますよ〜🕊️














",1,11,"17,034",2025/4/19 15:18:56,https://www.threads.com/@reika_biyou/post/DInipDPvJ-0,
,"いやまって、知らない人多いすぎるから言うけど、ビタミンCのスキンケアは朝使ってください。これは美容皮膚科では常識。ちなみに朝使う理由は①皮脂抑制もしてくれるので夕方皮脂ドロドロ回避②紫外線ダメージ軽減のためですなので日焼け止めレベルで朝塗る必要があるのよ。もう知らないと言わせないぞBy現役美容ナース
じゃあ何使えばいいかって質問来そうだから載っけときます下見てね👇🏻

サプリはこれ。

毛穴ケアもしたい人は美容液これね。

化粧水はこれ一択。



























",3,34,"18,000",2025/4/5 21:17:51,https://www.threads.com/@reika_biyou/post/DID756pJhB7,
,"今では会う人会う人に肌褒められるけど、昔はファンデ3度塗りしてた(実話)毛穴も赤みも消したくて、「とりあえず塗っとけ！」ってファンデ重ねまくってたけど、結局厚塗り感やばいし、崩れるし汚く見えるし、メンタルも病みまくり。でも“隠す”じゃなくて“仕込む”って考えに変えたらマジで世界変わった。スキンケアで土台整えて、ちゃんと肌を魅せられる下地とファンデに出会ってから、「肌キレイすぎ。何使ってるん？」って言われるようになった。その頃からずっと使ってるのは…

▫️SHISEIDO エッセンス スキングロウ プライマー
→ 美容液と同等の成分配合。毛穴ぼかして、肌ツルンって見せてくれる。次のファンデと相性バツグン。ad
a.r10.to/hNBhF…
【楽天市場】【SHISEIDO 公式】エッセンス スキングロウ プライマー | SHISEIDO 資生堂 シセイドウ | 化粧下地：SHISEIDO 公式ショップ

i
▫️ SHISEIDO エッセンス スキングロウ ファンデーション→ 軽いのにちゃんとカバー。ツヤがバケモン級に出る。なのに素肌感。厚塗り感0。そして成分もほぼ美容液。これ使い始めてから、つい鏡で肌見てしまう😂
ad a.r10.to/hPaUw…
【楽天市場】【SHISEIDO 公式】エッセンス スキングロウ ファンデーション | SHISEIDO 資生堂 シセイドウ | ファンデーション ファンデ 美容液ファンデ 美容液ファンデーション スキンケアエ

















",2,25,"18,000",2025/4/9 22:40:13,https://www.threads.com/@reika_biyou/post/DIOlMaIpg43,
,"えっ、知らない人多すぎて怖いんだけど、肌の老化の8割は紫外線が原因。当方、真っ白でよく褒められるんだが、紫外線物理的シャットアウトと飲む日焼け止め365日やってます。とにかく白くなれます。おしのアイテムはツリーに置いとくので、日焼けキャンセル界隈に入りたい人だけどうぞ。

愛用中の日焼け止めはこれ。使い心地めちゃくちゃいいのに、シミ予防もできるとか何事？
▫️Rakuten PR オルビス公式
a.r10.to/hkaaP…
【楽天市場】オルビス リンクルブライトUVプロテクター 日焼け止め シミ予防 シワ改善 美白 UVケア 日焼け対策 うるおい 低刺激 敏感肌 PA++++ SPF50+ 無香料 無着色 スキンケア ORBIS 公式 【

透明感溢れる白さになりたいなら飲む日焼け止めはマスト。今から飲めば真夏も乗り切れる。
▫️Rakuten PR ホワイトヴェール
a.r10.to/hkbKI…
【楽天市場】【ランキング1位獲得】ホワイトヴェール プレミアム ( 1袋 30粒 ) ニュートロックスサン アスタキサンチン 美容 サプリ UVケア 紫外線 日焼け対策 飲む美容液 機能性表示食品

日傘は完全遮光100%の傘を選ぶがよい。去年買ったけど、晴雨兼用で気に入ってる。
▫️Rakuten PR 日傘
a.r10.to/hNm2b…  
【楽天市場】年間ランキング1位【3周年！記念SALEで2,295円〜★開いたら-18℃】 日傘 折りたたみ 完全遮光 JIS認証済 遮熱率59％ 自動開閉 DeliToo 傘 超軽量 わずか240g 折り畳み傘 6本骨 uvカッ

シミしわたるみ防ぐならフェイスカバー使ってほしい。紫外線ダメージは塗るだけじゃやっぱり防げない。接触冷感だし息苦しくなくて使いやすい！あたりまえに今年も２色買い。
▫️Rakuten PR フェイスカバー
a.r10.to/hgs7w…
【楽天市場】＼クーポンで1,000円／【先着順50名限定】 サンバイザー フェイスカバー レディース 接触冷感 UPF50+ UVカット99% 日焼け防止 紫外線 熱中症 夏 日よけ 帽子 農 配達 作業 フェイ








",4,23,"18,000",2025/5/26 23:23:33,https://www.threads.com/@reika_biyou/post/DKHrg6xJG9k,
,"キールズのレチノールもそうだけど効果あってめっちゃいいと言われるものは大体値段が高い。それだけ企業が努力して作ったものだし、費用対効果はずば抜けているものしか私は紹介しないから、その辺のドラッグストアで買えるスキンケアに満足できない人は一旦騙されたと思って試して見てほしい。きっと見える世界が変わるから。









",0,18,"18,000",2025/4/4 11:24:46,https://www.threads.com/@reika_biyou/post/DIAf61cp1yI,
,"秒速で白玉肌になりたい女子たちに告ぐ！！何度も言うが紫外線は、くすみ・シミ・毛穴・たるみ、全部の元凶！！！紫外線対策適当にしてる人、数年後シミに悩んで美容医療に大金溶かしたいんですか！？老化回避したいなら、「スキンケアに何使ってるか」より「日焼け止めちゃんと使ってるか」の方が何倍も大事。本気で白玉肌目指すなら、スキンケアだけじゃなくて紫外線対策。てことで、私が愛用してる日焼け止め＆UVグッズ置いとくので今年こそ絶対焼きたくない人だけどうぞ。

いつも顔に使ってる日焼け止めはこれ。美白目指すならスキンケアの最後に必ず仕込む。下地に日焼け止め入ってても絶対使った方がいい。美白×シワ改善も叶える日焼け止めとかこれ以外知らない。
▫️rakuten pr. オルビス公式
a.r10.to/hkmT2…
【楽天市場】オルビス リンクルブライトUVプロテクター 日焼け止め シミ予防 シワ改善 美白 UVケア 日焼け対策 うるおい 低刺激 敏感肌 PA++++ SPF50+ 無香料 無着色 スキンケア ORBIS 公式 【

内側からのケアも忘れずにね。飲む日焼け止めは色々試してきたけど今は楽天で購入できるこちらを愛飲中。仕事柄パソコンを使うことも多いのでブルーライトからも守ってくれるのは地味に嬉しい😌
▫️rakuten pr. ホワイトヴェール
a.r10.to/h51qX…
【楽天市場】【ランキング1位獲得】ホワイトヴェール プレミアム ( 2袋 ) ニュートロックスサン アスタキサンチン 美容 サプリ UVケア 紫外線 日焼け対策 飲む美容液 機能性表示食品 日

日傘選ぶ時は100%完全遮光(完全UVカット)のものを選びましょう。私のフォロワーさんも使ってる人多いけど、やっぱり折りたためるこの傘は便利すぎ。そしてなんと言っても晴雨兼用だから1本持っとけば梅雨も安心🥺
▫️rakuten pr.
a.r10.to/hNQtT…
【楽天市場】年間ランキング1位★ラッピング可【クーポンで1点2,180円】 日傘 折りたたみ 完全遮光 JIS認証済 遮熱率59％ 自動開閉 DeliToo 傘 超軽量 わずか240g 折り畳み傘 6本骨 uvカット 紫













",3,25,"18,502",2025/4/24 17:37:46,https://www.threads.com/@reika_biyou/post/DI0qgRZp9qj,
,"ねえこれ、昔の私すぎて放っとけない…！！！！
「何使えばいいかわからないので、おすすめ全部買います！」ってDMくれた子がいて、もうこれは全力で応えるしかないよね？？というわけで、本気でおすすめしたい朝スキンケア一式(下地まで)をツリーにまとめたので気になる人だけ要チェック！！！！

【洗顔】FANCL やわ肌ミルク洗顔
水分油分を補いつつ、夜に顔にたまった皮脂や汚れを落としてくれる。乾燥＆敏感肌の人にも◎泡立て不要で朝洗顔にもってこい！！
これ使うとメイク乗り全然違う🥹
▫️rakuten pr FANCL公式
a.r10.to/hP3vH…
【楽天市場】やわ肌ミルク洗顔＜朝用ミルク状洗顔料＞【ファンケル 公式】 [ FANCL 洗顔 化粧品 基礎化粧品 スキンケア 無添加 乾燥肌 保湿 ミルク ミルク状洗顔料 朝用洗顔 ]：FANCL公式

【導入美容液】センテラ アンプル
バズってるこのアンプル使ってみたら超良かった！！！鎮静と保湿のバランスが神。肌荒れしなくなったのもこれのおかげかな😏
▫️rakuten pr センテラ公式
a.r10.to/hNxOr…
【楽天市場】【センテラ アンプル マダガスカル産CICA ベース美容液】 センテラアンプル マダガスカル産CICA 韓国 ベース美容液 敏感肌用 保湿 肌荒れ防止 自然由来成分 スキンケア 韓国

【化粧水】VC100エッセンスローション🍊
朝ビタCでくすみ対策＆毛穴ケア。しかもこれからの季節、紫外線も気になるから朝はビタミンCマストだよ！ベタつかないのに潤う、ちょうどいい使用感🙂‍↕️
▫️rakuten pr ドクターシーラボ公式
a.r10.to/hk9Jr…
【楽天市場】【全品10％OFFクーポン】【公式】 New VC 100 エッセンス ローション EX V 150mL [ ビタミンC 化粧水 ] 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人気ランキン

【美容液】アヌア アゼライン酸15
肌荒れ・ニキビ・赤みに悩んでる子に全力で推せる。朝使っても刺激少なめで使いやすい🤗私はTゾーンなどテカリやすい部分に使ってるよ！
▫️rakuten pr アヌア公式
a.r10.to/hPCBE…
【楽天市場】【ポイントバッグ20%】【レビューイベント対象】【Anua公式】【 アゼライン酸15インテンスカーミングセラム 30ml 】アゼライン酸 美容液 アンプル セラム 美肌 トラブルケア

【乳液】トゥベール ナノエマルジョンディープ
肌のバリア機能を底上げする保湿力。潤うのにベタつかなくてメイクを邪魔しないのがめちゃくちゃいい！！！
▫️rakuten pr トゥベール公式
a.r10.to/hP3vz…
【楽天市場】乳液 セラミド 楽天ベストコスメ2023 殿堂入り 学術誌掲載 60mL トゥベール トゥヴェール ナノエマルジョン／ナノエマルジョンプラス／ナノエマルジョンディープ：ビタミン

【化粧下地】クレ・ド・ポー ヴォワールコレクチュールn
仕上がりも崩れにくさも別格。しかも夕方までほんっっとに化粧が崩れない。その後のファンデのノリも段違い。やっぱりデパコスは違うなぁと思わせられた名品。
▫️rakuten pr
a.r10.to/h5bAq…
【楽天市場】【国内正規品】資生堂 クレ・ド・ポー ボーテ ヴォワールコレクチュールｎ 40g プレメイクアップ SPF25・PA++ 化粧下地 CPB：one make

【部分用下地】ピンポイントセバムオフ スティック
テカリガチ勢は絶対これ使うべし。鼻まわりの皮脂くずれ、おでこのテカリ防止にこれ1本。仕込んでおくだけで皮脂ストレスから解放される。これ使わない日は無いくらい🤣
▫️rakuten pr
a.r10.to/hkcQw…
【楽天市場】即日発送　送料無料【黒・セバムオフ スティック】プリマヴィスタ ピンポイントセバムオフ スティック超解放＜部分用皮脂くずれ防止スティック＞」SPF4・PA+：こっちゅめ",7,69,"19,000",2025/5/21 23:17:00,https://www.threads.com/@reika_biyou/post/DJ6yykyp5GK,
,"スキンケア迷子に向けて、肌悩み別に朝夜セットで置いとくわ。ぜんぶ美容ナースの私が実際使ってたorクリニックで同僚達に推されてるやつ、ガチで信頼してるやつだけツリーに載っけとくね。

▫️毛穴・くすみタイプ
朝：ドクターシーラボ（高浸透ビタC）
夜：キールズ（まじ肌変わるマイルドレチノール）
→ 肌褒められる率マジで上がるコンビ
rakuten pr
a.r10.to/hkRnV…
【楽天市場】【P10倍★〜4/18 23:59】【公式】 New VC 100 エッセンス ローション EX V 150mL [ ビタミンC 化粧水 ] 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人気ランキング


▫️乾燥・敏感タイプ
朝：セタフィル モイスチャライジングトナー（高保湿）
夜：ドクターケイ（A反応出にくい系レチ）
→ ゆらぎ肌でも攻めたい人用
rakuten pr.
a.r10.to/h5vk3…
【楽天市場】【P10倍★4/18 23:59まで】【公式】セタフィル モイスチャライジングトナー 150ｍL ( 化粧水 ) フェイス 顔 乾燥肌 保湿 敏感肌 保湿化粧水 スキンケア トナー 化粧水 基礎化粧品


▫️ニキビ・肌荒れタイプ
朝：アヌアのアゼライン（皮脂・赤みに効く）
夜：VTシカレチ（刺激少なめで毛穴ケア）
→ 肌荒れしやすい人でも安心して使える組み合わせ
rakuten pr.
a.r10.to/hPYRx…
【楽天市場】【 アゼライン酸15インテンスカーミングセラム 30ml 】アゼライン酸 美容液 アンプル セラム 美肌 トラブルケア ハリ ツヤ肌 スキンケア 化粧品 コスメ 肌 アヌア Anua：ANUA Off




",3,29,"19,000",2025/4/17 21:18:48,https://www.threads.com/@reika_biyou/post/DIjCPIJpr4z,
,"VCエッセンスローションやっぱ最高じゃん……！！！！まだ使ってない人、絶対1回は使うべきよほんと！！混合肌で毛穴もくすみも皮脂ドバも全部当てはまるけど、ここまでフィットしたビタミンC化粧水って正直これくらい。最近いろいろ浮気してたけど、結局戻ってくると安定感すごい。朝使うと肌のトーンがパッと明るくなるし、毛穴の存在感もふわっと薄くなる。ピリピリしないし、乾燥しないしツヤツヤになる。うる艶肌になりたい人はまずはこれから試してみて。

▫️rakuten PR ドクターシーラボ公式
a.r10.to/hNdCm…
【楽天市場】【P10倍★〜5/27 01:59】【公式】 New VC 100 エッセンス ローション EX V 285mL [ ビタミンC 化粧水 ] 化粧品 大容量 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人

























",1,18,"19,000",2025/5/24 20:54:45,https://www.threads.com/@reika_biyou/post/DKCQ5P-pHb3,
,"レチノールまとめの投稿反響ありすぎて…朝からニヤニヤ…昨日の投稿がたくさんの人に届いたみたいでめっちゃ嬉しかった！リプやDMも沢山ありがとう！どんどん返信してますので、引き続きなんでも聞いてください！🥺🤍






",1,13,"19,000",2025/5/22 8:30:34,https://www.threads.com/@reika_biyou/post/DJ7yI_XhoqO,
,"毛穴角栓界隈の皆さま、週1これ使ってください。1,980円でここまで鼻の黒ずみとってくれるアイテム他に見つけるのは困難なのよ。

▫️rakuten pr ソフィーナ
a.r10.to/h5RYo…
【楽天市場】ソフィーナ iP ポア クリアリング ジェル ウォッシュ(30g)【ソフィーナiP】[洗顔 角栓 毛穴 美容液 しっとり 炭 ソフィーナ iP]：楽天24
































",1,129,"19,703",2025/5/5 22:01:09,https://www.threads.com/@reika_biyou/post/DJRdY87pCJf,
,"1日で300人もフォロワーさん増えて嬉しすぎる😭美容ナース歴6年目の私が美容の知識と本当におすすめできるものだけを紹介するアカウントです。容姿に対して自信なかった昔の自分みたく悩んでる人にちょっとでもエールを贈れるようなアカウントにしていきます！みんなで史上最高のビジュになろう！！！どうぞよろしくお願いします🙇‍♀️






",0,18,"20,000",2025/4/4 14:37:03,https://www.threads.com/@reika_biyou/post/DIA17P6pE3I,
,"まじですごいの見つけたから聞いてほしい。脂性肌×イチゴ鼻旦那の肌を1回でツルッツルに変えてくれた最強パワーマスク。しかも赤みまで引くし使った後はモッチモチの肌になる。男女問わず肌ちゅるちゅるになりたい人は使わないとガチで損。

毛穴だけじゃなくてニキビにも！皮脂テカやニキビが気になる中高生のお子さんにもおすすめです😌
▫️Rakuten pr LUSH公式
a.r10.to/h5NM3…
【楽天市場】公式 LUSH パワーマスクSP フェイス ボディ 兼用 スクラブ マスク 毛穴ケア 角質除去 ハチミツ ミント 清涼感 オーガニック 合成保存料不使用 自然派 プレゼント ギフト ラッ

マスクのあとはしっかり保湿！ニキビ気になる人は薬用ジェルクリーム使うとさらに予防改善できますよ🫠これは私の周りでも使ってる人多い。背中ニキビにも🙆‍♀️
Rakuten pr ニキビ専科
a.r10.to/hgovk…
【楽天市場】6/6限定★お気に入り★半額以上★2980円⇒1460円★ニキビ専科 ニキビ にきび ニキビケア ニキビ跡 ニキビパッチ クレーター 大人ニキビ メンズ レディース 背中ニキビ お尻
























",2,16,"20,000",2025/6/9 0:17:41,https://www.threads.com/@reika_biyou/post/DKpQCxlJLM0,
,"毛穴詰まらせたくない人は絶対絶対絶対に酸化亜鉛フリーの日焼け止めと下地にしてね。もう夏は目の前☀️🍉🌻🏊

▫️酸化亜鉛フリーのベスト日焼け止め
ダルバのウォータフルアップサンクリームが個人的激推し。パラベンフリー、アルコールフリーなので肌に優しい。しかもトーンアップ効果あるのでお休みの日はこれだけでも十分☺️
a.r10.to/hknb3… ad
【楽天市場】【 d'Alba ( ダルバ ) 公式 】【 組み合わせ自由！選べる ウォータフル 日焼け止め SPF50+ PA++++ 35ml or 50ml 】 日焼け止め UV 紫外線 混合 くすみ 化粧下地 ベース メイク 低刺激 そ
























",1,28,"21,000",2025/5/13 19:23:46,https://www.threads.com/@reika_biyou/post/DJlxvSzp0JC,
,"断言するけど、20代からレチノールは必須。プチプラで効果実感できたのはトゥベール。クリニック勤務の私が友達にも勧めて、自分も3本目リピ中。週2〜3回、夜に全顔に塗るだけで肌のハリ・ツヤが目に見えて変わる。小ジワや毛穴がふっくらして、首のザラつきも目立たなくなって天才なのに敏感肌の私でも肌荒れなかった！レチノール何買えばいいか悩んでる人に激推しの1本。ただし1つだけ注意点があって…

公式も言ってるけど冷蔵庫に保管して使ってね。あとはレチノール使うなら紫外線対策は必須！！楽天で買えるよ〜👇🏻
a.r10.to/hPmyB…

【楽天市場】レチノール クリーム グラナクティブレチノイド2％　マトリキシル11％ セラミド トゥベール トゥヴェール レチノショット 0.1：ビタミンＣ誘導体のトゥヴェール
























",1,118,"22,000",2025/3/29 23:36:55,https://www.threads.com/@reika_biyou/post/DHyW8DEp0Xt,
,"美容ナースとして働く中で、レチノールの相談ほんっっっとうに多い。「皮むけました…」「肌に合わないから使えないです…」っていう声、めちゃくちゃ聞く！！急に高濃度から始める、毎日塗る、保湿とバリアケアが甘い…それじゃ肌がびっくりして当然。私が大事にしてるの“肌に合わせた濃度・頻度・塗り方”で育てていくこと。ちゃんと使えば、毛穴・くすみ・ハリ全部にアプローチできる“神成分”なんだよね。クリニックでもリピート率が高くて、「もっと早く使えばよかった」って言われることも多い。ここではそういう“リアルに良い”ものだけ紹介していくから、安心してついてきてね。

一緒に自分史上最高のビジュになろう！
@reika_biyou
 フォローしてね🫶🏻
フォロワさんには有益情報を毎日お届け中です🌷
DMやコメントでコスメスキンケアなどの相談も受け付けてます！















",1,29,"22,000",2025/4/8 22:13:42,https://www.threads.com/@reika_biyou/post/DIL9XSHBtYR,
,"秒速で白玉肌爆誕させたい乙女の皆様これを使ってください、悪いことは言いませんから。クリニックでも使ってる人多すぎてもう勧めたりできません。だってもうみんな良さ知りすぎて、次は親戚に布教してるまである。

·
友達にも「肌トーン爆上がりしたよ😭」て言われた（実話）この化粧水大容量すぎて結局コスパ良すぎる問題。ちなみに私も朝はこれしか使えんくらい溺愛してるビタミンC化粧水なんだけどもう私のフォロワさんはビタミンC朝に使わないといけない理由100点満点の回答できるよね？(圧)最近新しくリニューアルしたのに今日はポイント10倍で買えるとか天才か？
📍 rakuten ad ドクターシーラボ公式
a.r10.to/hkXtz…
【楽天市場】【P10倍★〜5/27 01:59】【公式】 New VC 100 エッセンス ローション EX V 150mL [ ビタミンC 化粧水 ] 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人気ランキング


·
あ、ごめん、私はこっち買ってた！！商品は一緒だけどポンプ式で大容量。2〜3ヶ月は持つからコスパ最強。
◾︎ rakuten ad ドクターシーラボ公式
a.r10.to/hNpV7…
【楽天市場】【P10倍★〜4/10 23:59】【公式】 New VC 100 エッセンス ローション EX V 285mL [ ビタミンC 化粧水 ] 化粧品 大容量 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人













",2,24,"22,000",2025/4/6 11:41:39,https://www.threads.com/@reika_biyou/post/DIFrcTyprsx,ローンチ
,"えっもう168いいねもついていた😭嬉しい🥺今お仕事終わったので酸化亜鉛フリー下地のおすすめまとめ作りますね！！！！！任せてくださいっ！！！





",0,17,"22,000",2025/6/6 21:08:30,https://www.threads.com/@reika_biyou/post/DKjwzVWpsSG,
,"これいい匂いしすぎて旦那さんから外で使わないでって言われた笑笑















",0,6,"22,224",2025/5/2 22:48:30,https://www.threads.com/@reika_biyou/post/DJJ0bOCpm8I,ローンチ
,"「夜用の化粧水なに使ってますか？」ってDMきたんだけど、これ絶対みんな気になるやつじゃん？ということで、肌悩み別にツリーにまとめておいた！夜ケア迷子は全員チェックしてって！！！

【シミ・黄ぐすみ】
ドクターシーラボ VC100エッセンスローション
→ 高浸透ビタミンCで透明感爆誕、まじで肌の底から発光する。透明感溢れるツヤ肌目指すならこれ一択。
▫️rakuten pr ドクターシーラボ
a.r10.to/hkIED…
【楽天市場】【全品10％OFFクーポン】【公式】 New VC 100 エッセンス ローション EX V 150mL [ ビタミンC 化粧水 ] 高保湿 紫外線 美容液 毛穴 敏感 ナイアシンアミド プレゼント 人気ランキン

【乾燥・粉吹き】
アクセーヌ モイストバランスローション
→ バシャバシャ使えてベタつかない。粉吹き地獄から救ってくれる救世主。セラミドたっぷりレチとも相性バツグン。
▫️rakuten pr アクセーヌ
a.r10.to/h52AH…
【楽天市場】【送料込み】アクセーヌ モイストバランスローション 360ｍｌ：FDC

【日焼け・肌荒れ】
アルビオン 薬用スキンコンディショナー
→ 日中日焼けしてしまった日の夜は絶対これでコットンパックしてる。肌荒れ防止効果もあって一石二鳥。
▫️rakuten pr アルビオン
a.r10.to/TcoXJ…
【楽天市場】●ポイント10倍＆割引クーポン●ALBION アルビオン 薬用 スキンコンディショナー エッセンシャル N 330ml / 165ml / 110ml / 海外向けパッケージ 330ml / 110ml【宅配便送料無料】 ギフ

【ニキビ跡・くすみ】
メディキューブ PDRN ピンクスージングトナー
→ 最近話題のPDRN。使ってみたけどニキビ跡薄くなった！！しかもこれ透明感も爆上がりする！
▫️rakuten pr メディキューブ公式
a.r10.to/hN73q…
【楽天市場】【medicube公式】PDRN ピンクトナー 250ml（ メディキューブ / medicube / 韓国コスメ / サーモンPDRN / トラブル跡 / トーンアップ / 水光 / 肌キメ ）：medicube公式楽天市場店

【油分多めのニキビ肌】
ベタつきゼロで水分と皮脂のバランスを整えてくれる優れたもの。さっぱり系なのでギトギト皮脂が気になる人や、オイリー肌さんにも激推し。
▫️ rakuten pr メイクプレム公式
a.r10.to/h5KNy…
【楽天市場】[送料無料] [メイクプレム公式] 「make p:rem インテカスージングトナー 200ml」　化粧水　インテカ　CICA シカ　角質ケア　皮脂ケア　保湿　鎮静　肌トラブル　肌荒れ　低刺激

【エイジングケア】
ナノア 化粧水
→ 保湿もハリも透明感も欲張るならコレ。費用対効果バグってるし、年齢に負けない肌作れるから親戚にはよく勧めてる。40超えたらヒト幹細胞取り入れてね。
▫️rakuten pr ナノア公式
a.r10.to/hRDbo…
【楽天市場】化粧水 (ナノア)NANOA 皮膚科医が大注目の エクソソーム ヒト幹細胞 EGF ほうれい線 エイジングケア セラミド ビタミンC誘導体 無添加 日本製：ひらがな楽天市場店

【超絶敏感肌のみなさんへ】
私もピリつく時期がたまに来ます。そんときはこれ。1家に1本あると安心ですよ。うちのドクターも推してた。
▫️rakuten pr セタフィル化粧水
a.r10.to/hFyuh…
【楽天市場】【公式】セタフィル モイスチャライジングトナー 150ｍL ( 化粧水 ) フェイス 顔 乾燥肌 保湿 敏感肌 保湿化粧水 スキンケア トナー 化粧水 基礎化粧品 肌荒れ 低刺激 ローシ",7,35,"23,000",2025/5/29 22:15:07,https://www.threads.com/@reika_biyou/post/DKPSEVPJ3jN,
,"自分で書いてて悲しくなるけど毛穴、皮脂テカ、角栓、ニキビ、インナードライをフルコンプしてる私って相当肌ガチャハズレなんじゃ………

そんな肌ガチャハズレ同志の皆様に私が厳選したプチプラハイスペスキンケアぜひ見てほしい…🥹

てか、同志の皆様は絶対私のことフォローしといてね？真似するだけでバケモン級に肌変わるスキンケアとか情報届けます！！！
@reika_biyou



















",2,9,"23,555",2025/4/29 22:32:00,https://www.threads.com/@reika_biyou/post/DJCEJsYprCl,
